Champion,Overall_Winrate,Aftershock_Winrate,Aftershock_Pickrate,Aftershock_Games,Arcane Comet_Winrate,Arcane Comet_Pickrate,Arcane Comet_Games,Conqueror_Winrate,Conqueror_Pickrate,Conqueror_Games,Dark Harvest_Winrate,Dark Harvest_Pickrate,Dark Harvest_Games,Electrocute_Winrate,Electrocute_Pickrate,Electrocute_Games,First Strike_Winrate,First Strike_Pickrate,First Strike_Games,Fleet Footwork_Winrate,Fleet Footwork_Pickrate,Fleet Footwork_Games,Glacial Augment_Winrate,Glacial Augment_Pickrate,Glacial Augment_Games,Grasp of the Undying_Winrate,Grasp of the Undying_Pickrate,Grasp of the Undying_Games,Guardian_Winrate,Guardian_Pickrate,Guardian_Games,Hail of Blades_Winrate,Hail of Blades_Pickrate,Hail of Blades_Games,Lethal Tempo_Winrate,Lethal Tempo_Pickrate,Lethal Tempo_Games,Phase Rush_Winrate,Phase Rush_Pickrate,Phase Rush_Games,Press the Attack_Winrate,Press the Attack_Pickrate,Press the Attack_Games,Summon Aery_Winrate,Summon Aery_Pickrate,Summon Aery_Games,Unsealed Spellbook_Winrate,Unsealed Spellbook_Pickrate,Unsealed Spellbook_Games
Taric,52.88,56.1,3.6,911,38.2,0.1,34,41.5,0.7,176,41.9,0.3,86,55.0,0.1,20,40.0,0.0,5,50.0,0.0,10,52.8,18.2,"4,604",53.7,50.7,"12,832",52.1,23.3,"5,889",31.3,0.1,32,45.3,1.4,360,41.7,0.4,103,39.3,0.2,61,53.0,0.7,166,55.6,0.1,36
Teemo,45.73,,,,45.3,2.4,"2,293",37.6,0.2,186,46.1,90.4,"85,440",44.0,0.2,232,41.6,0.2,202,41.2,0.1,102,,,,39.5,0.5,430,31.3,0.0,16,48.2,0.2,170,37.4,1.2,"1,157",32.9,0.1,85,41.6,3.9,"3,644",45.5,0.5,490,26.7,0.0,15
Thresh,52.77,54.4,50.1,"81,441",39.2,0.1,217,46.0,0.2,402,37.1,1.8,"2,874",39.0,0.2,246,40.6,0.1,101,34.9,0.2,298,49.3,16.1,"26,168",53.4,28.5,"46,264",58.6,1.1,"1,854",31.0,0.2,378,41.7,0.7,"1,149",51.4,0.1,185,39.1,0.2,320,50.6,0.1,176,51.7,0.2,391
Tristana,51.05,27.3,0.0,33,49.5,0.1,91,41.8,0.2,275,36.1,0.6,701,42.5,0.1,106,56.1,0.0,41,50.6,0.2,239,10.0,0.0,10,45.0,0.1,169,28.6,0.0,7,47.8,8.4,"10,314",51.7,77.7,"94,816",45.2,0.0,42,50.1,12.4,"15,182",38.7,0.1,62,37.5,0.0,16
Trundle,51.27,49.5,0.3,103,39.5,0.3,114,50.4,4.0,"1,573",29.8,1.9,748,30.6,0.1,49,38.0,0.1,50,42.1,0.2,76,48.6,30.2,"11,856",55.1,39.8,"15,630",55.7,0.3,115,46.4,0.2,69,50.1,8.2,"3,208",47.8,0.5,186,50.8,13.4,"5,282",44.3,0.4,167,65.4,0.1,52
Tryndamere,51.38,,,,36.7,0.1,30,53.4,2.5,964,42.2,1.5,573,48.3,0.4,149,33.3,0.1,27,56.1,0.6,239,,,,51.6,41.8,"16,384",44.8,0.1,29,52.8,6.6,"2,569",53.3,23.4,"9,173",37.6,0.2,93,49.3,22.8,"8,923",20.8,0.1,24,8.3,0.0,12
Twisted Fate,51.14,52.0,0.1,75,53.6,22.6,"27,103",42.9,0.2,247,52.2,56.2,"67,537",54.5,1.2,"1,399",56.2,1.3,"1,567",46.6,0.9,"1,038",48.2,0.5,624,46.1,0.2,267,41.7,0.0,12,41.6,0.1,113,43.1,8.4,"10,099",47.0,0.4,434,44.7,7.5,"8,998",54.3,0.2,210,52.5,0.4,446
Twitch,52.8,,,,41.7,0.2,357,47.3,0.2,338,44.0,2.0,"3,037",43.1,0.1,130,48.7,0.3,468,36.8,0.1,117,,,,42.4,0.1,198,11.1,0.0,9,47.6,14.2,"21,300",54.2,72.7,"109,148",47.2,0.1,106,52.6,9.8,"14,696",46.2,0.1,130,60.0,0.0,15
Udyr,49.42,52.2,0.6,245,50.7,2.5,979,48.9,18.8,"7,233",50.2,27.7,"10,670",47.5,0.6,238,49.5,4.9,"1,878",46.2,0.1,26,40.0,0.1,30,51.8,33.6,"12,934",52.2,0.1,23,36.3,7.1,"2,731",40.6,0.4,143,52.8,2.7,"1,040",36.7,0.6,245,57.1,0.1,56,25.0,0.0,4
Urgot,49.23,44.0,0.4,134,33.3,0.5,174,49.3,73.9,"27,295",38.5,2.2,806,36.6,0.2,71,54.2,0.1,24,44.6,0.2,65,57.1,0.0,7,46.0,3.3,"1,214",50.0,0.0,10,44.7,0.1,47,46.1,0.3,102,45.5,0.3,123,51.7,18.4,"6,799",50.0,0.1,28,35.3,0.0,17
Varus,52.31,56.7,0.0,30,53.1,3.3,"6,337",45.6,0.2,307,50.9,69.1,"133,326",41.0,0.1,210,51.0,0.5,914,54.3,0.1,184,50.0,0.0,12,43.1,0.1,167,62.5,0.0,8,49.2,2.0,"3,811",57.7,17.9,"34,532",44.9,0.0,89,53.4,6.7,"12,921",45.6,0.1,103,55.2,0.0,29
Vayne,54.34,59.5,0.0,37,34.4,0.0,64,47.6,0.2,347,43.1,1.2,"1,801",38.5,0.1,96,48.5,0.1,97,51.7,1.2,"1,863",41.7,0.0,12,50.9,0.6,884,25.0,0.0,12,43.4,0.3,482,54.9,79.3,"122,639",50.8,0.0,65,53.4,16.9,"26,123",33.9,0.0,59,31.8,0.0,22
Veigar,48.66,55.6,0.1,142,51.1,20.9,"25,926",48.2,0.3,311,47.9,74.7,"92,814",49.4,0.5,622,54.7,0.8,"1,014",44.3,0.1,97,53.8,0.6,712,49.5,0.6,796,59.2,0.1,71,39.7,0.1,68,37.2,0.2,191,50.4,0.4,546,40.2,0.1,102,51.9,0.5,672,42.7,0.1,110
Vel'Koz,52.05,50.0,0.0,38,53.9,23.9,"24,881",46.0,0.2,215,51.5,74.2,"77,312",51.4,0.4,395,52.7,0.5,543,60.0,0.0,45,44.1,0.0,34,46.8,0.1,94,70.0,0.0,10,48.8,0.0,43,41.6,0.2,173,59.6,0.1,99,50.0,0.1,60,56.1,0.2,196,50.0,0.0,18
